SA1_MAIN16,dist,duration,n_mesh_blocks
,36742.00881450903,47.53478260869565,23
10903118103,18548.57412718785,22.9,1
10903118317,21819.045621509365,31.2,1
10903118416,7647.024361968508,11,1
10903118417,4327.599221218938,9.1,1
10903118507,13134.670350697557,15.3,1
10903118508,5767.511518882777,34,1
20101100101,1904.7913868154315,4.4,4
20101100102,1560.0683134458095,4.15,2
20101100105,3484.977537607611,6.133333333333333,6
20101100106,2231.1789574894674,4.9222222222222225,9
20101100107,3188.5157521081387,5.34,5
20101100108,2842.411113702041,5.5375,8
20101100109,2422.2394578334897,4.433333333333334,6
20101100110,669.8661729730969,2.0500000000000003,4
20101100111,700.3831278935643,2.066666666666667,3
20101100112,1177.3572709695484,3.4,4
20101100113,800.9457985327002,2.6999999999999997,3
20101100114,1489.5282582082027,3.6,6
20101100115,7283.766704031202,10.86,5
20101100117,1964.2131533514691,4.416666666666667,12
20101100118,1937.5725923045698,4.9,2
20101100119,1798.8401291764571,7.1,4
20101100120,1131.5031193994796,2.75,8
20101100121,2445.1978972489205,6.1,5
20101100122,1255.3250895847702,3.4095238095238094,21
20101100123,1712.4111913156128,3.772727272727273,11
20101100124,1730.2448611587467,4.5249999999999995,4
20101100201,2614.966193751929,7.86,5
20101100202,3058.3366506284497,6.85,6
20101100203,2994.419991635045,7.074999999999999,4
20101100204,3131.852382344304,7.425,4
20101100205,5261.209630081175,8.425,8
20101100206,4639.564529071987,7.1,3
20101100207,5131.986429782282,7.55,6
20101100208,4513.811692968756,6.99,10
20101100209,4627.871964276513,8.204761904761904,21
20101100210,4206.910641740211,7.7,1
20101100211,5056.271359157612,7.633333333333333,6
20101100212,5575.735751320676,8.2,7
20101100213,5650.736788662693,8.383333333333333,6
20101100214,5786.054924307049,9.233333333333334,6
20101100215,6445.259289239102,9.675,8
20101100216,6817.335999225428,10.6,7
20101100217,6285.962038577768,9.115384615384615,13
20101100218,6327.6607397982725,8.85,6
20101100219,7063.622914196653,10.230434782608695,23
20101100220,6248.189616147303,9.933333333333334,3
20101100221,6362.995587444011,10.185714285714285,7
20101100222,5604.636743170011,8.625,8
20101100223,5706.998405423064,9.6,7
20101100224,5717.393510268142,10.325,8
20101100225,4004.5979238739446,8.459999999999999,5
20101100226,6355.784586109802,8.557142857142857,7
20101100227,6008.312899364328,9.85,4
20101100228,4628.1951952936715,9.38,5
20101100229,5333.039444892352,10.1,4
20101100230,5883.72329077064,9.68,5
20101100231,6417.962137018728,9.28,5
20101100232,5767.685020340915,8.84,5
20101100233,5674.33698931376,7.7749999999999995,8
20101100234,7624.103199834263,11.19,10
20101100301,10327.516698171286,17.985714285714288,7
20101100302,9000.19029400568,13.5,5
20101100303,7436.5555048041815,11.418181818181818,11
20101100304,8003.065201400926,12.183333333333334,6
20101100305,8629.847824182063,13.085714285714285,7
20101100306,8841.418769012635,12.65,4
20101100307,8199.601294143755,12.166666666666666,9
20101100308,8278.1233938988,12.175,8
20101100309,10508.154315225087,15.857142857142858,14
20101100310,9443.800112540663,14.6,8
20101100311,12511.722354921205,21.99047619047619,21
20101100312,12795.946888110713,17.6375,8
20101100313,7499.592095103619,12.725000000000001,4
20101100314,6661.5066334721905,11.66,10
20101100315,7008.398547060691,13.1,6
20101100316,6511.141342512654,11.733333333333333,9
20101100317,7776.97426823088,14.58,5
20101100318,7062.9555849342,12.514285714285714,7
20101100319,7988.521130712298,13.728571428571428,7
20101100320,7459.822635423345,13.025,4
20101100321,6698.978031870251,11.75,8
20101100322,7413.06106207882,12.5625,8
20101100323,6301.22603023538,11.242857142857142,7
20101100324,7864.53924402079,13.95,6
20101100325,8387.503814083007,14.95,4
20101100326,9288.13827601668,16.125,12
20101100327,7889.104923336057,13.757142857142858,7
20101100328,7658.9910915195505,13.857142857142858,7
20101100329,8385.59061868471,15.285714285714285,7
20101100330,6899.033595516076,10.97,10
20101100331,6611.510642762826,11.04,10
20101100332,7014.382788533423,12.066666666666666,6
20101100333,10598.102615137163,15.0875,8
20101100334,7135.148747881758,13.085714285714285,7
20101100335,7074.224596268247,12.5,11
20101100336,7375.835478208478,14.45,2
20101100337,8957.59299283965,17,4
20101100338,8677.737166441306,13.5,8
20101100339,8203.229925337157,11.842857142857143,7
20101100340,9389.14539104981,14.983333333333334,6
20101100341,9412.970854939427,14.75,4
20101100342,11583.015706690341,15.333333333333334,12
20101100343,9623.588387789312,14.719999999999999,5
20101100344,9459.875553394846,13.72,5
20101100345,6775.804747613555,14.35,2
20101100346,10819.449564183653,14.46,5
20101100347,9385.130776527976,15.966666666666667,3
20101100348,9218.91486016594,14.3,3
20101100349,8477.252281000181,12.933333333333334,6
20101100350,10187.89361404607,14.414285714285715,7
20101100351,9766.791815263521,14.9,5
20101100401,8792.29554383207,15.05,6
20101100402,8276.209470173146,14.254545454545454,11
20101100404,8362.506522211113,12.625,8
20101100405,7774.44896139176,13.4,7
20101100406,8691.855722367667,14.1,4
20101100407,7260.060274130893,11.28888888888889,9
20101100408,7632.699630789649,12.333333333333334,9
20101100409,8013.737639486488,11.942857142857143,7
20101100410,7419.866894484503,11,4
20101100411,7049.776204109397,11.955555555555556,9
20101100412,7442.65807342732,12.9875,8
20101100413,11248.938841194496,18,1
20101100414,9949.136122813627,16.1,5
20101100415,9039.146694835705,14.4,7
20101100416,9352.697066417888,14.983333333333333,6
20101100417,10153.017589591716,17.142857142857142,7
20101100418,5598.295659297704,9.34,5
20101100419,10629.7242498006,17.455555555555556,9
20101100420,9569.632936234335,16.288888888888888,9
20101100421,9265.608083576808,15.716666666666667,6
20101100422,9652.195478364982,15.98,10
20101100423,10118.19227712339,17.2,3
20101100424,5380.610308296816,8.525,8
20101100425,6103.928233489762,10.13,10
20101100426,6282.723584708502,9.733333333333333,6
20101100427,5903.142100416243,9.311111111111112,9
20101100428,6334.030805261447,10.471428571428572,7
20101100429,8790.190928438627,13.585714285714285,7
20101100430,6758.555645243588,10.853846153846154,13
20101100431,5934.86519710229,11.233333333333334,6
20101100432,6208.3081507078705,11.142857142857142,7
20101100433,6501.099701743299,11.366666666666667,6
20101100434,7097.108441458442,12.172727272727272,11
20101100435,6747.762586610363,11.7875,8
20101100436,6553.424952399902,12.383333333333333,6
20101100437,7039.679594513688,12.766666666666667,6
20101100438,7642.144914896091,13.338461538461539,13
20101100439,8157.342031052563,15.375,8
20101100440,7313.145449940852,13.4,4
20101100441,7654.480359919961,14.714285714285714,7
20101100442,7596.229516016912,13.18,5
20101100443,9128.60127319775,16.066666666666666,3
20101100444,8974.719261841808,14.3,9
20101100445,7890.398872478925,14.0875,8
20101100446,8491.623789607042,15.35,4
20101100447,8776.347633594642,15.2,4
20101100448,7471.25236873623,13.875,4
20101100449,8299.976625169944,14.450000000000001,4
20101100451,10211.721495248268,16.625,8
20101100452,7082.980871740292,14.025,4
20101100453,9552.72146323919,16.3,3
20101100454,6798.921087735727,13.271428571428572,7
20101100455,7259.79433808109,14.55,4
20101100456,9385.167545678232,15.55,4
20101100501,15504.162467137456,23.38,5
20101100502,14690.89454429393,22.07142857142857,7
20101100504,14781.154589911897,22.25,8
20101100505,13122.615886452557,22.2,1
20101100506,12360.044984285965,21.35,4
20101100507,15215.48606003928,22.414285714285715,7
20101100508,12434.507629498059,20.939999999999998,5
20101100509,12694.334791382493,20.419999999999998,5
20101100510,15705.333175071457,25.875,4
20101100511,16013.972974032335,25.433333333333334,3
20101100512,13289.66419660394,21.766666666666666,3
20101100513,10929.282301701027,18.75,4
20101100514,13732.46516956694,23.133333333333333,3
20101100515,12895.567821236318,21.025,4
