SA2_MAIN16,dist,duration,n_mesh_blocks
207031166,3019.9145908660616,5.830172413793104,116
207031167,1325.840632627195,2.8478991596638656,119
208011168,6992.675074440699,12.117159763313609,169
208011169,4275.289568363535,7.1030211480362535,331
208011170,2538.602443449073,4.749152542372881,177
208011171,3897.605524658219,7.398013245033113,151
208011172,3139.2388242648076,6.103286384976526,213
208011173,5190.571334130838,8.562869198312237,237
208021174,981.3320311385298,2.1693950177935943,281
208021176,2663.3694926391427,5.013004484304933,223
208021177,3379.728016075934,5.622265625,256
208021178,3591.2713815934526,6.537674418604651,215
208021179,4124.984735536086,6.906918238993711,159
208021180,2441.613349621702,4.328571428571428,91
208021181,2183.109700507091,4.283185840707964,113
208021182,2414.4694938236225,3.9918604651162792,172
208021426,2471.749539337697,4.774358974358974,156
208021427,2233.6819195780695,4.536690647482015,139
208031183,3867.615330002665,8.464835164835165,91
208031184,3691.9452243656265,7.767647058823529,34
208031185,5342.773815334451,10.782380952380953,210
208031186,6780.256256214134,12.909958506224067,241
208031187,5459.3491362072455,10.06,65
208031188,5103.955049294515,8.501298701298701,308
208031189,5760.441080334919,11.51881188118812,202
208031190,6982.195177718571,10.555392156862744,204
208031191,3265.7930412494375,6.114193548387097,155
208031192,5559.953097631478,9.166666666666666,3
208031193,6041.677472563613,10.150675675675675,296
208041194,3714.2288579451792,6.607210031347963,319
208041195,1981.1050165483966,3.918965517241379,290
209011196,3936.3315562981825,7.066666666666666,105
209011197,1602.8829730590867,7.180161943319838,247
209011198,1406.9303506980898,2.853921568627451,204
209011199,1257.4573155793576,3.1648514851485148,202
209011200,1921.8178898531203,3.7064327485380115,171
209011201,1289.7538374736062,2.815151515151515,99
209011202,1124.0734527454972,3.3885,200
209011203,2827.93804158482,6.356363636363636,220
209011204,2844.5573613856773,6.5962962962962965,108
209021205,3432.95555523455,8.677894736842106,95
209021207,2551.020398292552,5.774780058651026,341
209021208,2596.2688471934775,9.03388157894737,304
209021428,1740.6614316687915,4.196885813148789,289
209021429,3448.462924341423,6.856953642384106,151
209031209,3378.315193668714,8.479622641509433,265
209031210,9283.610066525911,18.414285714285715,42
209031211,20589.00153215725,31.742372881355934,59
209031212,14127.323117407434,27.131944444444443,72
209031213,2241.306909854819,9.5,122
209031214,7576.500305325096,17.116091954022988,87
209031215,4610.354732575389,12.305960264900662,151
209041216,3193.8690369387846,7.0128571428571425,70
209041217,3914.500446804387,7.6886363636363635,88
209041219,1278.4027086991362,3.437698412698413,252
209041220,3023.5419314403607,6.320855614973262,187
209041221,2650.092644166055,5.75,130
209041223,1605.1671043108183,4.374910394265233,279
209041224,3425.7334541473256,6.952659574468085,188
209041225,11466.164983403674,15.948333333333334,120
209041430,3925.185224590124,8.226540284360189,211
209041431,2665.4321191892136,6.1875,128
209041432,1181.7299846938422,3.6751879699248122,133
209041433,2700.881976629291,6.389256198347107,121
209041434,1509.2295181078703,3.991573033707865,178
209041435,2239.2878177437474,6.587719298245614,114
209041436,3811.338601730087,8.47984496124031,129
209041437,4273.980045560077,9.175,92
210011226,946.514964694046,3.6857142857142855,126
210011227,1341.0662051489505,3.6,1
210011228,1583.6400951844203,4.470394736842105,152
210011229,2295.5938301948927,6.4466876971608835,317
210011230,952.6912571955603,3.4054945054945054,91
210011231,1326.342470136552,3.745528455284553,123
210021232,16038.026043184209,19.286896551724137,145
210021233,19871.993842970507,22.366666666666667,51
210021234,14920.590203448373,21.504878048780487,41
210021235,18757.479365199128,31.786792452830188,106
210031236,2764.3606599700684,7.154248366013072,153
210031237,873.0725516528354,2.962,150
210031239,1366.7413887520388,3.521554770318021,283
210031438,1065.6371196583666,2.9296442687747035,253
210031439,1388.6409686702584,6.003846153846154,26
210031440,1871.8915831521388,4.589855072463768,69
210041240,2345.1599853470534,5.674100719424461,139
210041241,2555.0189636914424,5.690273556231003,329
210051242,1142.6359319289088,3.8361702127659574,141
210051243,1852.2373932837227,NA,243
210051245,2447.4964302076623,6.7,205
210051246,3119.7878925639293,10.16094674556213,169
210051247,916.413124300448,2.962222222222222,135
210051248,1643.170987543999,5.9799999999999995,5
210051249,1264.4458564927259,3.8374301675977653,179
210051250,1949.3383086325662,5.009574468085106,94
210051441,1223.648517936201,3.485135135135135,74
210051442,2367.3233649025465,6.132291666666667,96
210051443,1501.5490460991698,4.0793333333333335,150
210051444,2157.539612181867,4.681512605042017,119
210051445,5023.548351902067,9.7,22
211011251,3086.875371612068,6.192261904761905,168
211011254,2273.936248114465,4.841573033707865,178
211011255,2981.5810213194422,7.875862068965517,58
211011256,1201.757884819232,3.55,142
211011257,2122.6835071811142,5.625,76
211011258,1825.0559422049705,4.767647058823529,102
211011259,2166.986953863633,5.132638888888889,144
211011260,1546.2320964136288,3.9573863636363638,176
211011446,2221.827487194485,4.658865248226951,282
211011447,911.6048653407547,2.9656976744186045,172
211011448,1141.143650150552,2.85,186
211011449,3192.0211788318693,6.917021276595745,47
211021261,4172.410541854946,7.642708333333333,192
211021262,6897.784711295855,12.490647482014388,139
211031263,3558.6251581690335,6.3493589743589745,156
211031265,3548.3804617912947,7.192146596858639,191
211031266,1441.6704462865682,2.929770992366412,262
211031267,2350.3725413564434,4.412550607287449,247
211031268,1724.9895733880064,3.4523809523809526,105
211031450,1103.287935699968,2.5661764705882355,204
211031451,2115.5227040891564,4.5683870967741935,155
211031452,2316.7892296267964,4.249122807017544,57
211041269,4185.947700807082,6.5398305084745765,118
211041270,3146.7451732022323,5.544392523364486,214
211041271,4541.791442818515,7.593959731543624,149
211041272,4134.486032171281,6.6632478632478636,117
211041273,3223.268854163162,6.126829268292683,123
211051274,6914.404542601972,12.069767441860465,129
211051275,4447.429477204647,9.042990654205607,107
211051276,5027.206071384582,8.364285714285714,196
211051277,2713.6787820050918,4.959047619047619,105
211051278,2830.2987866369026,6.258108108108108,222
211051279,10814.654925074326,18.9768115942029,69
211051280,3993.7296589792318,6.8275,80
211051281,2813.6160116983247,5.942083333333334,240
211051282,6583.3305847819875,14.515972222222222,144
211051283,2623.5744896575975,5.553636363636364,110
211051284,3975.6892263733375,7.029245283018868,106
211051285,8054.0604902113355,13.856578947368421,76
211051286,6479.612664772429,11.250381679389314,262
212011287,4764.435776334537,8.39874213836478,159
212011288,17860.07495016439,25.210833333333333,120
212011289,14005.57705588459,24.36198347107438,242
