SA2_MAIN16,area.mean,area.max,area.min,area.sd,area.total,AREA_ALBERS_SQKM.mean,AREA_ALBERS_SQKM.max,AREA_ALBERS_SQKM.min,AREA_ALBERS_SQKM.sd,AREA_ALBERS_SQKM.total,Dwelling.mean,Dwelling.max,Dwelling.min,Dwelling.sd,Dwelling.total,Person.mean,Person.max,Person.min,Person.sd,Person.total,number_mesh_blocks
,9.87958295123436,9.87958295123436,9.87958295123436,NA,9.87958295123436,0.007,0.007,0.007,NA,0.007,0,0,0,NA,0,0,0,0,NA,0,1
204011061,48.265157051031,77.9347454212023,9.55591451111919,23.63500206609729,723.977355765464,57.08476,195.6199,0.0977,66.69979432261927,856.2714,8.333333333333334,51,0,14.738999126063318,125,12.4,62,0,19.8235069695407,186,15
206011105,11.2037170332121,13.8639710908952,10.1818374150733,0.8583687811139846,4055.74556602277,0.014169613259668508,0.0835,0.0015,0.010364614014652562,5.1294,33.66022099447514,177,0,25.077343361878075,12185,69.63259668508287,345,0,48.40268917688704,25207,362
206011106,12.7358751183433,14.3470346314857,10.8970822229511,0.9840126647763837,1884.90951751481,0.014683783783783783,0.0486,0.0017,0.009396301588644825,2.1732,38.898648648648646,443,0,53.956740024577044,5757,75.32432432432432,678,0,80.64368730571194,11148,148
206011107,11.5601328716859,12.1497376870032,10.7666382746113,0.3104852029239306,2335.14684008056,0.015646039603960396,0.0531,0.0015,0.009148917732716573,3.1605,32.693069306930695,217,0,23.662949427472327,6604,66.44059405940594,385,0,47.55587376963645,13421,202
206011108,10.413845927455,11.687802388949,7.98703798759848,0.6994373414540852,3322.01685085813,0.021336363636363636,0.0946,0.0025,0.012247972259567147,6.8063,33.59561128526646,241,0,24.149484274855798,10717,80.66457680250784,394,0,52.86101123272951,25732,319
206011109,10.6940346088407,11.8859148885107,9.06306878281409,0.6690552903597988,1229.81398001668,0.025571304347826087,0.0771,0.0011,0.012561768545292788,2.9407,32.495652173913044,72,0,20.705696272368378,3737,84.51304347826087,217,0,55.67644076667852,9719,115
206021110,13.9237141554954,15.680963668233,11.967993292379,1.1507329082641158,1851.85398268089,0.02213233082706767,0.1003,0.0046,0.014736542648228507,2.9436,29.51127819548872,75,0,18.51887511365232,3925,66.99248120300751,193,0,43.65003666224319,8910,133
206021111,14.0645566476163,16.391927257226,12.1546386151382,0.8867574026692914,4697.56192030383,0.01807874251497006,0.1447,0.0017,0.014407096919824829,6.0383,31.610778443113773,134,0,20.149546094158424,10558,71.7814371257485,248,0,46.1734243894731,23975,334
206021112,12.1668161887545,15.6216603025076,10.3467220348425,1.1697264968297048,3212.03947383118,0.018741666666666667,0.1857,0.0026,0.015694483502835824,4.9478,32.36363636363637,98,0,17.34695061017436,8544,69.29545454545455,257,0,41.233221246870386,18294,264
206031113,10.9986011872516,11.6631093098812,10.025369174592,0.38541889494636755,1957.75101133079,0.02132640449438202,0.2817,0.0023,0.02710739114699,3.7961,36.8876404494382,210,0,27.275094992143384,6566,81.83707865168539,451,0,58.667899734131595,14567,178
206031114,9.89976207919213,11.870631159688,8.39737427997182,0.6829422631829272,3573.81411058836,0.02329639889196676,0.1188,0.0019,0.013965477805264383,8.41,33.177285318559555,260,0,22.857691006870954,11977,75.77285318559557,401,0,47.40169283080097,27354,361
206031115,10.4338402991174,11.4154446122172,9.75042213104149,0.39148161673510656,1262.4946761932,0.013164462809917355,0.0621,0.0013,0.009842965842875919,1.5929,39.35537190082645,789,0,76.1980817239004,4762,82.0495867768595,1490,0,152.0042681001463,9928,121
206031116,10.9058927875059,11.6917241897166,10.0631787503282,0.27386365309657423,2083.02552241362,0.022108376963350787,0.4183,0.002,0.032309151921370564,4.2227,32.282722513089006,96,0,19.022249159214255,6166,72.47643979057591,172,0,41.91003170822606,13843,191
206041117,16.5243852990979,17.7120269016177,15.1812080478144,0.6687300179688735,3139.6332068286,0.009255263157894737,0.2876,5e-4,0.0211270144447428,1.7585,54.60526315789474,821,0,95.03843262520856,10375,98.67894736842105,1344,0,151.78813234432798,18749,190
206041118,13.6674437617452,14.2551234733277,13.1547371404875,0.24597174464959135,697.039631849006,0.04591176470588235,0.4687,0.0031,0.07415521194645411,2.3415,114.54901960784314,820,0,193.26203080020557,5842,191.37254901960785,1420,0,327.64211944036214,9760,51
206041119,17.5526203694498,17.8631754783944,15.9102690475076,0.23897754144815903,1509.52535177268,0.033403488372093025,0.7064,0.0012,0.09791529045728843,2.8727,32.46511627906977,330,0,42.320818871878174,2792,54.36046511627907,481,0,67.85675444999565,4675,86
206041120,11.9369022793013,11.9369022793013,11.9369022793013,NA,11.9369022793013,1.7093,1.7093,1.7093,NA,1.7093,40,40,40,NA,40,85,85,85,NA,85,1
206041121,10.8200898603152,12.1670167035301,9.84386802318906,0.5131552291950139,1698.75410806949,0.013420382165605095,0.1537,0.0016,0.01715388024749272,2.107,32.82802547770701,257,0,35.83208316434844,5154,67.55414012738854,456,0,63.44828248311503,10606,157
206041122,16.4441883852651,17.7746653057668,14.3568580829135,1.023895339771389,4242.60060339839,0.009053875968992249,0.0971,6e-4,0.009846064438058924,2.3359,84.5813953488372,1923,0,184.41902455414052,21822,141.46899224806202,3026,0,296.4104332664001,36499,258
206041123,13.8208773538067,15.9744468918169,11.5901077604691,0.9693259157224919,3164.98091402173,0.01420873362445415,0.2415,9e-4,0.018656636857372115,3.2538,45.11790393013101,499,0,58.553162850504904,10332,89.79475982532752,884,0,111.52529714035599,20563,229
