lga_name,area.mean,area.max,area.min,area.sd,area.total,AREA_ALBERS_SQKM.mean,AREA_ALBERS_SQKM.max,AREA_ALBERS_SQKM.min,AREA_ALBERS_SQKM.sd,AREA_ALBERS_SQKM.total,Dwelling.mean,Dwelling.max,Dwelling.min,Dwelling.sd,Dwelling.total,Person.mean,Person.max,Person.min,Person.sd,Person.total,number_mesh_blocks
Hobsons Bay,10.9205337752971,19.4864758684027,4.46273351717892,4.557230449416681,9697.43399246378,0.02720123873873874,0.1503,0.0026,0.010766162105915638,24.1547,41.181306306306304,163,0,13.905617176054974,36569,98.25450450450451,391,0,33.883254735955795,87250,888
Hume,9.42665804703464,20.4198571203368,0,5.3743911138175235,14884.6930562677,0.05578454718176061,2.7442,0.0034,0.14827140488837914,88.0838,40.678910702976566,265,0,14.433673479683888,64232,119.25902469917669,783,0,45.75360429538895,188310,1579
Kingston,10.5911212401028,15.2416374656742,7.11436661249302,1.8220434038875015,17380.0299550088,0.025631139549055455,0.302,0.0029,0.013375572446583618,42.0607,37.5496648385131,222,0,15.120778030288548,61619,89.49482023156612,369,8,34.17293007605446,146861,1641
Knox,16.2489745206468,29.5060647926094,7.81893384870269,5.769029650855506,22634.8215072611,0.0432321608040201,0.5604,0.0031,0.02968978378022737,60.2224,41.66475233309404,216,0,16.86121593995576,58039,108.34314429289304,418,0,38.8016246496348,150922,1393
Manningham,13.022915303061,18.8772095585234,5.32729041583676,4.014266708472743,14442.4130710946,0.052050135256988275,0.4655,0.0024,0.05253497229952991,57.7236,39.309287646528404,333,0,16.691480412321443,43594,100.19747520288549,442,0,33.697016881146,111119,1109
Maribyrnong,9.21670706353134,11.6765445703766,7.64732477721901,0.7592284888374652,7751.25064042985,0.018892033293697978,0.125,0.0018,0.01019618606467913,15.8882,40.98810939357907,372,0,22.414384228658246,34471,94.85374554102259,625,0,43.66589890321336,79772,841
Maroondah,6.78467125289408,17.9582347229645,4.76147480041332,1.8258573044842505,7700.60187203478,0.04043303964757709,0.7314,0.0054,0.03192865435854535,45.8915,38.78502202643172,359,8,15.127720370585434,44021,96.07577092511013,428,18,36.11852773288548,109046,1135
Melbourne,13.9175686307356,17.831416523973,7.19365049860334,2.3036747377300704,9157.76015902403,0.01005288753799392,0.3884,5e-4,0.0162674937806073,6.6148,81.43313069908815,820,0,104.64713162775136,53583,143.93161094224925,1420,0,171.52913284113123,94707,658
Melton,5.84554298280369,13.3946298323799,0.0202451502224393,2.261461426448885,6710.68334425864,0.06348675958188153,4.6791,0.0044,0.23115911596810862,72.8828,39.23257839721254,265,0,16.032467645493238,45039,113.5862369337979,1145,0,53.47677071941395,130397,1148
Monash,10.6589858955163,24.904458041664,5.44214680604048,3.6826421688133624,18685.20227484,0.03127877923559612,0.1692,0.0024,0.012689423889439187,54.8317,39.5031374786081,314,0,16.441785931750093,69249,100.89218482601255,554,0,35.75910829249655,176864,1753
Moonee Valley,10.8679001944595,12.8714909848476,8.41506035943493,1.0230332235616728,12671.9716267398,0.025014150943396228,0.1251,0.0013,0.01224972405783397,29.1665,41.37564322469983,789,0,28.026251768877625,48244,96.42881646655232,1490,0,57.089099789900544,112436,1166
Moreland,10.9823151481612,14.6105152861893,8.08687463404677,1.2519347001854368,17890.1913763546,0.02239779005524862,0.1207,0.0015,0.011369870310918241,36.486,42.03130755064457,443,0,23.08106379094546,68469,96.70042971147943,678,0,42.101257150156314,157525,1629
Mornington Peninsula,5.25130099781505,15.1798757625058,0.447533407074237,2.699068769477255,11726.155128121,0.06869261083743843,3.6804,0.0047,0.1268706614775966,153.3906,37.65606806986117,552,0,18.341834054109274,84086,64.69726824899239,763,0,45.99725015807016,144469,2233
Nillumbik,9.36336426697516,17.03397555102,0,4.393506663345061,4419.50793401228,0.09353072033898305,1.1567,0.0099,0.12696909586504845,44.1465,38.16101694915254,71,3,11.846663886855225,18012,107.47033898305085,232,10,37.63969267181084,50726,472
Port Phillip,9.47165783265048,12.8907932020922,5.54027646538185,1.703419597995834,11119.7262955317,0.009634923339011925,0.0488,0.001,0.005850779281028434,11.3114,44.469335604770016,364,0,32.21854183948088,52207,78.28705281090289,565,0,50.96849120441469,91909,1174
Stonnington,10.3772839500319,14.7728828065558,6.45121772250422,2.569110422636465,12463.1180239884,0.016405995004163197,0.1043,9e-4,0.012034248239779737,19.7036,40.01165695253955,443,0,26.554814955776923,48054,78.45545378850957,709,0,45.18010132401289,94225,1201
Whitehorse,8.64592801661303,14.2000427898818,6.38896614817269,1.3822301479469552,13798.9011145144,0.030590037593984962,0.2579,0.001,0.014826581898141084,48.8217,40.58458646616541,216,0,16.410822578323767,64773,99.53195488721805,488,0,36.70983716102791,158853,1596
Whittlesea,9.38379448828892,21.1169588026913,1.19949348544844,3.6457454658412503,16477.9431214353,0.04695973804100228,6.4906,0.0058,0.17333043683227406,82.4613,38.8001138952164,424,0,18.677909312428863,68133,108.57289293849658,783,0,45.04374366253442,190654,1756
Wyndham,8.28365405394338,29.9281078692903,0.122191493510187,5.522115220477374,15581.5532754675,0.05581786283891547,7.8791,0.0073,0.2998226530231758,104.9934,39.2434875066454,279,0,15.622346289066463,73817,113.46145667198299,1070,0,48.84813339281333,213421,1881
Yarra,16.1587323413578,17.8401036635194,13.2700992595862,1.0648759140226918,13880.3510812263,0.011739813736903377,0.1022,0.0013,0.00782191488146081,10.0845,47.147846332945285,576,0,48.07148212167959,40500,92.83818393480792,841,0,84.53188325246607,79748,859
Yarra Ranges,13.8768105974992,59.0484430954198,0,10.093556521286336,17498.6581634465,0.10757295796986518,1.8395,0.0056,0.13948503750862726,135.6495,40.090404440919905,279,3,14.568821184615919,50554,101.58921490880253,448,7,35.9893416025678,128104,1261
