lga,confirmed,active,as_of_date
CORANGAMITE,1,0,2020-07-10
GLENELG,1,0,2020-07-10
GOLDEN PLAINS,1,0,2020-07-10
MOYNE,1,0,2020-07-10
WEST WIMMERA,1,0,2020-07-10
WODONGA,1,0,2020-07-10
YARRIAMBIACK,1,0,2020-07-10
UNKNOWN,34,29,2020-07-10
Total,3379,1172,2020-07-10
HUME,354,176,2020-07-11
MELBOURNE,318,203,2020-07-11
WYNDHAM,263,175,2020-07-11
BRIMBANK,232,97,2020-07-11
MOONEE VALLEY,228,122,2020-07-11
MORELAND,176,67,2020-07-11
CASEY,137,21,2020-07-11
BANYULE,126,28,2020-07-11
STONNINGTON,116,14,2020-07-11
WHITTLESEA,114,44,2020-07-11
MELTON,102,28,2020-07-11
DAREBIN,89,30,2020-07-11
BOROONDARA,88,12,2020-07-11
GREATER GEELONG,73,5,2020-07-11
MONASH,73,19,2020-07-11
MARIBYRNONG,71,35,2020-07-11
INTERSTATE,70,2,2020-07-11
YARRA,68,26,2020-07-11
MORNINGTON PENINSULA,64,0,2020-07-11
GLEN EIRA,63,3,2020-07-11
PORT PHILLIP,63,10,2020-07-11
MANNINGHAM,50,14,2020-07-11
HOBSONS BAY,48,18,2020-07-11
WHITEHORSE,45,17,2020-07-11
FRANKSTON,44,3,2020-07-11
BAYSIDE,39,3,2020-07-11
KINGSTON,39,4,2020-07-11
GREATER DANDENONG,31,4,2020-07-11
UNKNOWN,31,27,2020-07-11
YARRA RANGES,31,5,2020-07-11
KNOX,29,5,2020-07-11
NILLUMBIK,29,2,2020-07-11
MITCHELL,26,12,2020-07-11
CARDINIA,25,3,2020-07-11
MAROONDAH,21,5,2020-07-11
GREATER SHEPPARTON,16,1,2020-07-11
WELLINGTON,13,0,2020-07-11
GREATER BENDIGO,12,3,2020-07-11
BALLARAT,11,0,2020-07-11
MOIRA,11,0,2020-07-11
SURF COAST,10,1,2020-07-11
LATROBE,9,0,2020-07-11
MACEDON RANGES,9,0,2020-07-11
BAW BAW,7,2,2020-07-11
MOUNT ALEXANDER,6,0,2020-07-11
SOUTH GIPPSLAND,6,1,2020-07-11
ARARAT,5,0,2020-07-11
CAMPASPE,5,0,2020-07-11
MILDURA,5,0,2020-07-11
WARRNAMBOOL,5,0,2020-07-11
BASS COAST,4,0,2020-07-11
OVERSEAS,4,0,2020-07-11
SWAN HILL,4,0,2020-07-11
BENALLA,3,0,2020-07-11
HORSHAM,3,0,2020-07-11
LODDON,3,0,2020-07-11
MANSFIELD,3,0,2020-07-11
MOORABOOL,3,0,2020-07-11
